,created_at,id,text
63,Mon May 03 23:58:46 +0000 2021,1389368868804734976,気にしない練習　https://t.co/336GC05eN8
64,Mon May 03 23:58:45 +0000 2021,1389368865319227400,"Intel NUC 11 Pro UCFF Negro i5-1135G7
💶 426.4€
🔻 35% 
🌐 https://t.co/kziB3U47jZ https://t.co/MxPgLO51R7"
65,Mon May 03 23:58:45 +0000 2021,1389368863813369858,BOSEの代わりにヤマハ サウンドバーしたけど、かなり高音質で満足(*^-^*) 4K HDR対応/HDMI/DTS Virtual:X/Bluetooth　https://t.co/o4D5yH616q
66,Mon May 03 23:58:41 +0000 2021,1389368848877506562,"RT @Chu_Nan: 🟣 NOVIDADES DA PANINI! 🟣

A pré-venda do lançamento HELL'S PARADISE, com uma capa MARAVILHOSA, já está rolando!

Garanta o seu…"
67,Mon May 03 23:58:41 +0000 2021,1389368848361656323,"Remote Control Cars | RC Car Toys 4WD Stunt Car 360° Rotating Toy CRADREAM 2.4GHz
#offers #deals #Amazon

Clip a ex… https://t.co/iBQYZqgncU"
68,Mon May 03 23:58:41 +0000 2021,1389368848042897409,"RT @jnovelclub: [PRE-ORDER] ""The Great Cleric"" Vol. 3 eBook - June 28

JNC: https://t.co/dwfaI1P5Zp
BOOK WALKER: https://t.co/Bai6TmLKCw
No…"
69,Mon May 03 23:58:41 +0000 2021,1389368847707213825,RT @consaba: 【6/18発売予定】『嗅ぐ文学、動く言葉、感じる読書』 ラルフ・ジェームズ・サヴァリーズ、岩坂彰（みすず書房）文学教授の著者が『白鯨』 『アンドロイドは電気羊の夢を見るか?』 『心は孤独な狩人』 などの名作を6人の自閉症者とともに読んだ読書セッションの…
70,Mon May 03 23:58:39 +0000 2021,1389368842720190466,"RT @kosakanatops: 🐟先行カット第二弾解禁🐟
お待たせしました！　
#小坂菜緒1st写真集  から歯磨きカットの解禁です🪥
朝、お出かけの準備をする彼女のふとした瞬間を切りとりました！　
写真集でも #こさかなとおうちデート カットがたくさんありますよ🐱💕

#…"
71,Mon May 03 23:58:38 +0000 2021,1389368837825519616,"RT @OkroguLes: Just saw this on Amazon: The Pirate (Bloodlands collection) by Schechter, Harold for $1.99 https://t.co/MCtbhAhwcX via @amaz…"
72,Mon May 03 23:58:38 +0000 2021,1389368837355708417,*\(^o^)/*Check out this Amazon deal: [New Release]DKnight Magicbox II Bluetooth 4.... by DKnight https://t.co/Pfwe0UQ4Ew amazonさんから
73,Mon May 03 23:58:37 +0000 2021,1389368833257852933,"ミキハウス (MIKIHOUSE) 福袋がかわいくておすすめです(*^^*)
女の子用→https://t.co/1BYDW1bPIF 
男の子用↓　https://t.co/ijx2evWp3C"
74,Mon May 03 23:58:36 +0000 2021,1389368829399216128,"VOLTOOOU!! Pré-venda

Corte de chamas prateadas + brindes (R$ 69,90)
https://t.co/pUI00sz75J https://t.co/5QyJJb09Jb"
75,Mon May 03 23:58:35 +0000 2021,1389368824747724801,"Starfinder Adventure Path: Waking the Worldseed

11% off and part of the big buy one get one half off book sale.… https://t.co/aECzHGgM9l"
76,Mon May 03 23:58:33 +0000 2021,1389368816707141633,"サピエンス全史 単行本 (上)(下)セット を Amazon でチェック！
https://t.co/0N295VKhGm"
77,Mon May 03 23:58:33 +0000 2021,1389368814815518723,"RT @HayatoSuzuki11: アスリート向けのこちらの2作品がKindle Unlimitedで無料で期間限定で読めます！unlimitedに入ってなくても特別価格で読めるそうなのでこの機会にぜひご覧ください！

「弱いメンタルに劇的に効くアスリートの言葉」
http…"
78,Mon May 03 23:58:32 +0000 2021,1389368812118712321,"@TylerHarris_216 Thanks for reaching out with your feedback! We accept a variety of payment options, including cred… https://t.co/6CwMfhNBAn"
79,Mon May 03 23:58:28 +0000 2021,1389368795752386562,そういえば無地の白シャツしか持ってない(*_*)　最近は襟とか袖とかにワンポイントのお洒落が入っているのが多い気がする。買い換える時はこういうのにしよう♪　https://t.co/TQOIajuWyV
80,Mon May 03 23:58:28 +0000 2021,1389368794607357952,RT @netahougaii: 藤子・Ｆ・不二雄『Ｔ・Ｍ（タイムマシン）は絶対に』は、もしタイムマシンが開発されたとしたらなにが起こりうるのかという掌編だが、グレッグ・イーガン『アロウズ・オブ・タイム』はまさにその思考実験を押し広げた大がかりな物語だといえる。https://…
81,Mon May 03 23:58:27 +0000 2021,1389368791348375552,"RT @kosakanatops: ＼#小坂菜緒1st写真集 発売まで、あと56日！／
みなさんもいっしょに💪

#こしゃストレッチ
#こさかな毎日カウントダウン 
#小坂菜緒
#日向坂46 

https://t.co/LdvMxacppB https://t.co/zEEc…"
82,Mon May 03 23:58:27 +0000 2021,1389368790773735428,"@MHLWitter 

この本を教科書か参考書にして、全国民が学ぶべきだと考えます

https://t.co/gi7P20GTx2"
83,Mon May 03 23:58:25 +0000 2021,1389368781714051077,男の子が仮面ライダーなら女の子はリカちゃんがいつまでも人気ですね。お子さんがいる家にはいいかも♪　最近おもちゃも手が込んでるのでこの価格帯でも比較的安い( ﾟДﾟ)　リカちゃん リカペイでピッ! おかいものパーク　https://t.co/LFSTdMdXJu
84,Mon May 03 23:58:24 +0000 2021,1389368776756535298,"RT @OkroguLes: Just saw this on Amazon: Enemy of the People: The Untold Story of the Journalists Who Opposed Hitler by Petty, Terrence for…"
85,Mon May 03 23:58:24 +0000 2021,1389368776529956872,Confira esta oferta da Amazon: A Pirâmide Vermelha: (Série As crônicas dos Kane): 1 por Rick Riordan https://t.co/7nwC9XCFWp via @amazon
86,Mon May 03 23:58:24 +0000 2021,1389368776412438530,"Amazonにて、HI-METAL R ドラグナー1カスタム 『機甲戦記ドラグナー』 が、￥23,581円で予約または販売されています。(05/04 08:58:24)
https://t.co/KezaIpTuhv"
87,Mon May 03 23:58:22 +0000 2021,1389368770813038595,"@preterniadotcom @TXHophead 👺 ""Tusken Raider"" 13"" Statue by Kotobukiya 👉 https://t.co/dDuPavbudz
Hurry! Only 4 LEFT!"
88,Mon May 03 23:58:22 +0000 2021,1389368767600230400,https://t.co/CFTfsiwKYX
89,Mon May 03 23:58:22 +0000 2021,1389368767445045249,"Magia Record: Puella Magi Madoka Magica Side Story Vol. 1 by Fuji, Fujino for $6.99 https://t.co/wLt80TsV9Y amazonより"
90,Mon May 03 23:58:20 +0000 2021,1389368761900146690,去年最も売れたエロ漫画ｗｗｗｗｗｗｗｗｗｗｗｗｗ　https://t.co/VnqS6TyoLs
91,Mon May 03 23:58:19 +0000 2021,1389368755571023874,RT @Wario64: A Die Hard Christmas Gift Set hardcover book with John McClane plush is $9.99 on Amazon https://t.co/jK4emq8Tus #ad https://t.…
92,Mon May 03 23:58:19 +0000 2021,1389368755218653187,"Capitalize on the Negative Overreaction Towards #ViacomCBS $VIAC 

$DISCA $NFLX $DIS $AAPL $FOXA $CMCSA $T $VZ… https://t.co/XsZ3sjDM3O"
93,Mon May 03 23:58:18 +0000 2021,1389368754182578178,"DONT MISS THIS DEAL 

Massage Gun Deep Tissue Percussion Body Massager for Muscles Handheld Therapy and Relaxation,… https://t.co/TmBMAosBmP"
