,created_at,id,text,language
73,Sun May 02 23:58:53 +0000 2021,1.3890065120734167e+18,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to WIN this Amazon exclusive Art Series Bambi Pop! Not feeling lucky? Pre-orde…,en
74,Sun May 02 23:58:53 +0000 2021,1.3890065098504397e+18,"RT @Nintendeal: Super Mario Odyssey (Switch) physical and digital releases are both $39.99 right now

Amazon: https://t.co/sinJJ38pJc
GameS…",en
75,Sun May 02 23:58:49 +0000 2021,1.3890064932283392e+18,"@DivineOps if you don't have an ice maker
https://t.co/5du7PNCDhf",en
76,Sun May 02 23:58:47 +0000 2021,1.389006486236541e+18,Lightning Offer BAGAIL Microfiber Towel Perfect Sports &amp; Travel &amp; Beach Towel. Fast Drying At only 7.64$ instead of… https://t.co/nh5DYWHAOg,en
77,Sun May 02 23:58:41 +0000 2021,1.3890064628574904e+18,RT @URDailyHistory: 2 May 1536: England's King Henry VIII has his former wife Anne #Boleyn arrested for high #treason. She is sent to the T…,en
78,Thu Apr 29 19:00:02 +0000 2021,1.387844140403204e+18,"The truth won't suffice, he will have to fight for it!

Meet #VakeelSaabOnPrime now: https://t.co/N3YOfvkBDd… https://t.co/nOc40hYOTn",en
79,Sat May 01 23:59:55 +0000 2021,1.3886443837974856e+18,RT @Wario64: Animal Crossing: New Horizons - Timmy &amp; Tommy - Nintendo Switch Lite Skin is $4.16 on Amazon https://t.co/JFLW9YusCw #ad https…,en
80,Sat May 01 23:59:55 +0000 2021,1.3886443833612206e+18,"Check out this book: ""A Very Dangerous Woman: The Lives, Loves and Lies of Russia's Most Seductive Spy"" by Deborah… https://t.co/5yPbXKxTcX",en
81,Sat May 01 23:59:55 +0000 2021,1.3886443831011615e+18,"@EloualiSabrine Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight With… https://t.co/IbeTCCfaKp",en
82,Sat May 01 23:59:53 +0000 2021,1.3886443772753797e+18,"Liberty and Justice for All T-Shirt
BUY HERE👉https://t.co/Yk1BSmqJtY
#BlackLivesMatter  #BlackTwitter https://t.co/oThzMPyR5I",en
83,Sat May 01 23:59:52 +0000 2021,1.3886443725399736e+18,RT @Wario64: Destroy All Humans! DNA Collector's Edition (PC) is $39.99 on Amazon (MSRP $149.99) https://t.co/SUFJWvR5Mr #ad https://t.co/U…,en
84,Sat May 01 23:59:48 +0000 2021,1.3886443545631334e+18,"@RoseBlack2222 Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight Within
https://t.co/d2IqjLrQT4",en
