,Unnamed: 0,Unnamed: 0.1,index,created_at,id,text,language,shingleSet,signature,builtModel_sentiment,vader_score
49,49,51,54.0,Sun May 02 23:59:35 +0000 2021,1.389006689567916e+18,Highland Warrior by  is  LIVE     SonsofSinclair  ,en,"{320917472, 3013899354, 1771461577, 2120957610, 4178348656, 2858830515, 4013102741, 4122319482, 4893464, 3777647257, 3849360634}","[109462703, 482223166, 28073895, 1352846497, 247614871, 1099674535, 102868125, 326294843, 202667084, 370936279]",-1,0.0
50,50,52,55.0,Sun May 02 23:59:33 +0000 2021,1.389006680583676e+18,   Surprise Shawty  I m live   click the link below to indulge in my latest romance suspense read  Happy Release Day to me    ,en,"{2611871488, 1879100160, 4190783119, 4013102741, 3038927639, 551255070, 1922849447, 1488650026, 2493630774, 2270900412, 2858151238, 3183153609, 1233502540, 764582484, 1787342173, 3993690078, 4101278047, 433421920, 4034741859, 2221257059, 150928739, 278764390, 1407666791, 698996457, 2990614123, 690833138, 1260227059, 2904180857, 2082865660}","[27682025, 105347814, 186939412, 59051048, 445449054, 192695520, 88255346, 215774097, 56524705, 125903589]",1,0.8555
51,51,53,56.0,Sun May 02 23:59:33 +0000 2021,1.389006678843089e+18,    pack of Shower Caps           Save    with promo code   XFPHKG   ,en,"{970926624, 521054717, 76694145, 255784291, 3464214147, 3285473798, 824735718, 3410352044, 2747253101, 3241478830, 4292360593, 4013102741, 2099081910, 708195063, 924658741, 3901776413, 1886540094, 1712647039}","[116944727, 15423487, 630534863, 81712332, 155096782, 34038345, 71824065, 59657160, 167794369, 128178149]",1,0.4939
52,52,54,57.0,Sun May 02 23:59:30 +0000 2021,1.3890066685502587e+18,Frosted Flakes Watch Charger Magnetic Charging Cable for iWatch Portable Wireless Charging Cord Compatible with App  ,en,"{848644674, 3492921828, 3651629606, 339951495, 507372328, 2287129737, 2469239465, 1991683310, 3091407567, 1965313333, 438808790, 3476469365, 1785710998, 477113977, 1607251325, 3810941215}","[572183369, 204940662, 330420554, 72804075, 382744423, 225785260, 26118169, 20857987, 416515458, 156666357]",-1,0.0
53,53,55,58.0,Sun May 02 23:59:28 +0000 2021,1.3890066593605263e+18, We understand your concern  Some items may get shipped separately  To clarify  have we missed the delivery  ,en,"{2259101058, 3841265807, 3661393551, 2280123153, 1477499283, 206413078, 4163128602, 3105370794, 3279998765, 660355503, 2191857861, 1277485766, 2383577163, 3309299161, 2631057889, 3444722289, 3017031281, 1679928440, 630620794, 3957272443, 3030741245}","[36421281, 56144315, 3393262, 6062950, 32585028, 108445129, 38983544, 78403036, 462352018, 30096923]",-1,-0.296
54,54,56,59.0,Sun May 02 23:59:28 +0000 2021,1.389006658421072e+18,  Miitopia  Switch  is       off on Amazon    ad        releases May     You re welcome   ,en,"{887809413, 3001071622, 3547204744, 2319934609, 4013102741, 4236867223, 300657827, 2828482088, 642762668, 2800168498, 269593654, 403120567, 2505576891, 865260221, 112627907, 571622597, 814148679, 3689716059, 4070334302, 2399324517, 443452907, 1139419372, 4178348656, 2671228406, 1932325750}","[79775489, 236352876, 54037375, 48969934, 116022311, 128174267, 53770355, 82515338, 230038758, 136878310]",1,0.5719
55,55,57,60.0,Sun May 02 23:59:25 +0000 2021,1.3890066442526638e+18,Fortnite Concept Art  Gear up here    gt    fortnite  gameart ,en,"{2057819200, 447079588, 3531418661, 3304029831, 1949649224, 2026506473, 3145575721, 3851472714, 3813130732, 1896980809, 1464285117, 2515364020, 4013102741, 3167957437, 628601119}","[93792128, 105468297, 595091328, 453167400, 297778568, 25730081, 134495767, 326294843, 61256972, 6738406]",1,0.2732
56,56,58,61.0,Sun May 02 23:59:22 +0000 2021,1.3890066313802957e+18,                get an epiphany                            ,en,"{1777142627, 2779480133, 2130815947, 470697647, 4013102741, 2272764381}","[247422293, 1687814359, 322032280, 758020434, 25677273, 742893273, 791242323, 326294843, 257234883, 682414896]",1,0.0
57,57,59,62.0,Sun May 02 23:59:13 +0000 2021,1.38900659742754e+18, Success is a journey  not a destination     Frank Sonnenberg   BookSmart,en,"{2921639938, 737376708, 998885830, 316452072, 2480153834, 3720035403, 266354444, 4054839915, 3616790927, 3942662581, 4013102741, 27740601, 4101901337, 2059035035, 1445961182}","[176000485, 109267916, 337681131, 527846033, 315853722, 497339380, 539767895, 326294843, 523810892, 254467795]",-1,0.5719
58,58,60,63.0,Sun May 02 23:59:12 +0000 2021,1.3890065895965532e+18,  Look at the size of this monster dildo    it felt so good  Loved every inch of it  New video on my onlyfans   ,en,"{47916544, 4195561223, 1517048585, 1817265937, 3740123666, 4013102741, 2993208213, 3366395799, 3376921623, 4232471587, 1488029734, 3722653617, 1003940922, 2868439103, 494527552, 2957585486, 3054164814, 3552523092, 1296066773, 2583129176, 4029197656, 210517598, 3514944872, 3374013802, 2963356267, 1943268846, 1875340403, 3364461429, 1702745726}","[4937224, 117156748, 345908241, 87619206, 131054761, 135077175, 94883149, 117889464, 138868890, 79018394]",1,0.8368
59,59,61,64.0,Sun May 02 23:59:07 +0000 2021,1.3890065703783877e+18,Now Playing  Money Talks by  ACDC Listen Live at  Buy this song here    ,en,"{3424703520, 1800648161, 882565796, 521460036, 1826827110, 1231178311, 2203484711, 1255127575, 2654210794, 551151077, 3035439052, 2975772782, 1657098639, 277710095, 4013102741, 1328658071, 628601119}","[11966770, 255948976, 83230161, 716632038, 52450518, 949770130, 16615152, 267988089, 761957392, 109781456]",1,0.2023
60,60,62,65.0,Sun May 02 23:59:06 +0000 2021,1.3890065669306614e+18,  ad  Funko Pop  Disney  Cruella  Cruella in Black Dress   Cruella in Red Dress  ,en,"{2670287504, 3496743185, 578714519, 785250840, 3314939551, 2708163877, 4260071975, 1851979185, 2522651825, 2641844662, 970531256, 3053490249, 4291184974, 3991880532, 561846490, 4070334302, 2399324517, 2747188842, 3150383090}","[279976468, 404226354, 47274346, 321037328, 116022311, 93767616, 84529337, 93768817, 4825985, 141018944]",1,0.0
61,61,63,66.0,Sun May 02 23:59:04 +0000 2021,1.3890065567971e+18,   Lightning Deal    Bread Slippers for             off    ,en,"{3462231686, 3262589895, 566037670, 409253804, 1865806476, 4002369007, 1250568945, 3237600434, 4013102741, 1207373174, 1932325750, 119723256, 540369975}","[65880607, 364888599, 41607353, 97773221, 380849382, 568994917, 75757587, 42762762, 63818508, 292890272]",1,0.0
62,62,64,67.0,Sun May 02 23:59:02 +0000 2021,1.3890065473811003e+18,   I completely understand local restrictions  I don t shotguns are bad  ,en,"{2221065632, 4264201665, 3712880162, 1199449280, 1569210980, 3991175081, 2373987405, 2041126743, 1823432245, 4013102741, 3288443799, 1141795160, 4241385173, 2121613146, 2276856541}","[128807506, 363767440, 35432815, 32345786, 20459982, 87057239, 228578167, 326294843, 446014197, 18048687]",-1,-0.5423
63,63,65,69.0,Sun May 02 23:59:01 +0000 2021,1.3890065450658488e+18,  Monster Hunter Chibi Plush pre orders  Amazon    ad        Play Asia          ,en,"{1785069441, 2399324517, 3789634375, 2943176073, 2823824649, 1652146953, 1434413132, 3942765645, 1139419372, 3909692303, 565840784, 3378418352, 4070334302, 2655213679, 307386580, 4013102741, 2505576891, 3150766270}","[181795906, 286296998, 79065347, 261934231, 116022311, 98831865, 16228032, 15903186, 151054475, 223179165]",1,0.4767
64,64,66,70.0,Sun May 02 23:59:00 +0000 2021,1.389006540535894e+18,STEAL      pack of LED Video Photo Lighting Kit            Save     with promo code   FDUL     ,en,"{76694145, 3464214147, 3993581829, 2021526156, 4292360593, 4013102741, 2090860058, 3901776413, 970926624, 1379787306, 3241478830, 3048819638, 1886540094, 115674566, 767958985, 807092938, 1127743566, 824735718, 2747253101, 1183805040, 4001254267, 521054717}","[343905691, 15423487, 438393259, 81712332, 186715325, 34038345, 98634223, 326294843, 167794369, 128178149]",1,-0.186
65,65,67,71.0,Sun May 02 23:58:55 +0000 2021,1.3890065197154345e+18,  My Mexican slaves  Goddess needs cheering up    ,en,"{3772383778, 1295867876, 2277434248, 524292777, 4238012622, 1217362448, 3577073170, 440937012, 1532811989, 4013102741, 687326140}","[387922797, 377890502, 627067632, 754207129, 29108424, 1181683, 312471474, 326294843, 213802313, 222124271]",-1,0.5106
66,66,68,72.0,Sun May 02 23:58:55 +0000 2021,1.3890065186624922e+18,Amazon  airpods max                    Monitored at           ,en,"{437593409, 3490900229, 1067826924, 190833741, 2489878606, 2268073904, 4070697489, 4013102741, 1607240604}","[838455450, 274334697, 991832840, 560457047, 424388342, 771794014, 117318463, 326294843, 104891296, 222695780]",-1,0.1779
