,index,created_at,id,text,language
136,144.0,Thu Apr 29 23:59:50 +0000 2021,1.3879195877488968e+18,Win     Amazon gift card in the  Aprilofbookshop    ,en
137,145.0,Thu Apr 29 23:59:50 +0000 2021,1.3879195871744614e+18,  Was able to close it for a     profit    Alert   update  chatroom       SPY  TSLA  SHOP  AMZN  NVDA  ROKU  EBAY  AMD  BB ,en
138,146.0,Thu Apr 29 23:59:46 +0000 2021,1.3879195703091978e+18,  Q  Digital Ad Rev Growth  YoY   Change    Pinterest  PINS         Snapchat  SNAP         Facebook  FB         Amazon  AMZN    ,en
140,148.0,Thu Apr 29 23:59:37 +0000 2021,1.3879195308994806e+18,Assassin s Creed Origins   Get it here on Amazon    gt     AssassinsCreed ,en
141,149.0,Thu Apr 29 23:59:34 +0000 2021,1.387919521067975e+18,   AMZN reported earnings of         consensus was        Earnings Whisper was        via   whisperbeat  ,en
142,150.0,Thu Apr 29 23:59:30 +0000 2021,1.387919502499664e+18,Jeff Bezos May be incredibly smart but he is not so smart not splitting his stock   AMZN,en
143,151.0,Thu Apr 29 23:59:28 +0000 2021,1.3879194927354511e+18,      ft LED Strip Light for        Save     with promo code   J TPIK    ,en
144,152.0,Thu Apr 29 23:59:27 +0000 2021,1.387919491892355e+18,  The truth won t suffice  he will have to fight for it   Meet  VakeelSaabOnPrime       ,en
145,154.0,Thu Apr 29 23:59:21 +0000 2021,1.3879194649482895e+18,  Fujifilm Instax Mini Link for Nintendo Switch Smartphone Printer is now properly up for pre order on Amazon  ,en
146,156.0,Thu Apr 29 23:59:20 +0000 2021,1.3879194592857498e+18,Q  Revenue Growth  YoY   Change    Tesla  TSLA         Apple  AAPL         Facebook  FB         Amazon  AMZN         ,en
147,157.0,Thu Apr 29 23:59:19 +0000 2021,1.3879194581030912e+18,    ft LED Strip Light for        Save     with promo code   J TPIK    ,en
148,158.0,Thu Apr 29 23:59:19 +0000 2021,1.3879194566937518e+18,  Big Tech had some monster  s in  Q w   AAPL  AMZN  FB  GOOGL  amp   MSFT totaling     B of  Q revenue        B of  Q NI  Giv ,en
149,159.0,Thu Apr 29 23:59:18 +0000 2021,1.3879194513839104e+18,  Make awesome games with C  and  Unity    Tech     DaysOfCode  DEVCommunity  Games  CS   Book  Reading ,en
150,160.0,Thu Apr 29 23:59:14 +0000 2021,1.3879194378949304e+18, When kids grow up  they hear their parent s voice in their subconscious     Frank Sonnenberg   BookSmart,en
151,161.0,Thu Apr 29 23:59:14 +0000 2021,1.387919435474903e+18,For anyone who has spent a lifetime trying to be a better person than they were the day before  Ms  Olson has writt  ,en
152,163.0,Thu Apr 29 23:59:10 +0000 2021,1.3879194190667858e+18,he Big Book of the Blue explores the underwater world  looking at animals in danger  learning how to spot creature  ,en
153,164.0,Thu Apr 29 23:59:10 +0000 2021,1.3879194186388808e+18, romancefiction  Romantic  RomanceBooks   romancebook  romancereader  RomanceReaders   romancenovels  ,en
154,165.0,Thu Apr 29 23:59:08 +0000 2021,1.3879194127165768e+18,Source    Check out  BXGLOW daily cleanser and other skin products       ,en
155,166.0,Thu Apr 29 23:59:03 +0000 2021,1.3879193912793784e+18,  The truth won t suffice  he will have to fight for it   Meet  VakeelSaabOnPrime now     ,en
156,167.0,Thu Apr 29 23:59:03 +0000 2021,1.3879193878316524e+18,  The truth won t suffice  he will have to fight for it    Meet  VakeelSaabOnPrime     ,en
157,169.0,Thu Apr 29 23:59:00 +0000 2021,1.3879193774340342e+18,Grab a   pack of LED Ring Lights  get it for         Save     with promo code   FUL     ,en
158,170.0,Thu Apr 29 23:58:59 +0000 2021,1.3879193749175132e+18,Winning After Losing  Building Resilient Teams is an important book  Learn more    ,en
159,171.0,Thu Apr 29 23:58:55 +0000 2021,1.3879193575237345e+18,Kenwood FP    Compact Food Processor   Silver And Grey        delivered   Amazon  a     Foodie  Foodies  food  ,en
160,172.0,Thu Apr 29 23:58:49 +0000 2021,1.3879193318838518e+18,  If you want to learn more about our April  authorofthemonth click one of the links below   US  UK ,en
161,,,,,
162,177.0,Thu Apr 29 23:58:41 +0000 2021,1.3879192977465098e+18,  There s a new moon   is blonde  and she just dropped  Your Power   the latest off her forthcoming album   The ,en
163,178.0,Thu Apr 29 23:58:39 +0000 2021,1.387919288108036e+18, This  StockMarket  Bubble would be called  FAANG Bubble    Per  WarrenBuffett INTRINSIC VALUE formula  based  ,en
164,180.0,Thu Apr 29 23:58:34 +0000 2021,1.38791926967398e+18,  Reader Ready Award Recommended Read        asmsg  iartg  amreading  bookboost https    ,en
165,181.0,Thu Apr 29 23:58:31 +0000 2021,1.387919254784254e+18,     Royally Targeted is here  y all      Amazon     mc  mcromance   romanticsuspense   book nerd  bike ,en
166,182.0,Mon Apr 26 17:29:13 +0000 2021,1.3867341216077455e+18,BREAKING  Traders says an  stock split is likely in      possibly as early as Thursday when co reports earni  ,en
167,183.0,Mon Apr 26 18:00:12 +0000 2021,1.386741919737426e+18,Coming soon  Pop  Marvel   Marvel Studios  The Falcon and The Winter Soldier  Pre order all your favorites now   ,en
168,184.0,Wed Apr 28 23:59:57 +0000 2021,1.3875572292015596e+18,  Learning Python   th Edition  Link      Python     DaysOfCode  CodeNewbies  WomenWhoCode  Coding   ,en
169,185.0,Wed Apr 28 23:59:52 +0000 2021,1.387557209089839e+18,      Blue       US              Yellow       UK  ,en
170,186.0,Wed Apr 28 23:59:50 +0000 2021,1.3875572007766794e+18,        Raise Your Hands     iTunes  Amazon MP    MIYU    womanguitarist,en
171,188.0,Wed Apr 28 23:59:50 +0000 2021,1.387557197425496e+18, I could definitely see  AMZN doing the same thing that  TSLA did when it announced the split  A purely  ,en
172,189.0,Wed Apr 28 23:59:49 +0000 2021,1.38755719595341e+18,his is not the reason u should own  AMZN ,en
173,190.0,Wed Apr 28 23:59:49 +0000 2021,1.3875571957436293e+18,  Back in stock    The Child Animatronic Edition    ,en
174,191.0,Wed Apr 28 23:59:45 +0000 2021,1.3875571772048753e+18,  Josh has fallen hard for the beautiful alien Melynas  but is he ready to die for a kiss  Read Space Cowboy Blues  amp  the ot ,en
175,192.0,Wed Apr 28 23:59:45 +0000 2021,1.387557176944726e+18,  ITZY  lt GUESS WHO gt    TITLE TRACK         In the morning     RELEASE            FRI  PM  KST     AM  EST   ITZY SHOP https   ,en
176,193.0,Wed Apr 28 23:59:44 +0000 2021,1.3875571760429957e+18,    Murder  mystery  sexual tension  Stories that feel as though they were pulled from the pages of long ,en
177,195.0,Wed Apr 28 23:59:41 +0000 2021,1.3875571626547282e+18,  Today Buy your Best All Product From Here    shop,en
178,196.0,Wed Apr 28 23:59:41 +0000 2021,1.3875571618579538e+18,   Third  ,en
179,197.0,Wed Apr 28 23:59:38 +0000 2021,1.387557150533177e+18,  Mega cap Tech has been on absolute fire yet another quarter     FB  AAPL  GOOGL  MSFT all reported amazing quarte  ,en
180,198.0,Wed Apr 28 23:59:38 +0000 2021,1.3875571489226793e+18, This may be the wisest  more realistic  amp  most helpful book I ve come across  I ve been a self help book addict for  ,en
181,199.0,Wed Apr 28 23:59:36 +0000 2021,1.3875571390031585e+18,     April       Oskar  Schindler  subject of  the       movie Schindler s List  is born in  Zwittau  Moravia  He is cred ,en
182,200.0,Wed Apr 28 23:59:34 +0000 2021,1.3875571301993472e+18,     Amazon review  An apocalyptic thriller   The world will never be the same in Author K Z  Howell s apocalyptic tale   Dead ,en
